date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:03:50	12221/12221	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Aug%202020%2001:38:35%20GMT	http://beetvapk.me/	C:/My%20Web%20Sites/FAQs/beetvapk.me/index.html	(from )
03:03:54	1857/1857	---M--	200	added ('OK')	image/png	etag:%22f55079c1d715e022791efede45d401d5%22	https://i.imgur.com/mOntvM4.png	C:/My%20Web%20Sites/FAQs/i.imgur.com/mOntvM4.png	(from http://beetvapk.me/)
03:03:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Aug%202020%2011:03:49%20GMT	http://beetvapk.me/css/animate.css	C:/My%20Web%20Sites/FAQs/beetvapk.me/css/animate.css	(from http://beetvapk.me/)
03:03:58	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/FAQs/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from http://beetvapk.me/)
03:04:00	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Aug%202020%2011:03:54%20GMT	http://beetvapk.me/js/particles.min.js	C:/My%20Web%20Sites/FAQs/beetvapk.me/js/particles.min.js	(from http://beetvapk.me/)
03:04:03	36868/36868	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	C:/My%20Web%20Sites/FAQs/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/js/bootstrap.min.js	(from http://beetvapk.me/)
03:04:09	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3ab7f9-4d7%22	http://beetvapk.me/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/FAQs/beetvapk.me/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from http://beetvapk.me/)
03:04:09	126863/126863	---MC-	200	added ('OK')	text/javascript	date:Mon,%2024%20Aug%202020%2011:03:45%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/FAQs/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://beetvapk.me/)
03:04:09	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/FAQs/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from http://beetvapk.me/)
03:04:19	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3ab7f9-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/2448a7bd/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/FAQs/ajax.cloudflare.com/cdn-cgi/scripts/2448a7bd/cloudflare-static/rocket-loader.min.js	(from http://beetvapk.me/)
